x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.1,2023-06-01 00:00:00,QC,2023,6,1,,,10,,23.5,,0,,0,,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.2,2023-06-02 00:00:00,QC,2023,6,2,,,6,,8,,,M,,M,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.3,2023-06-03 00:00:00,QC,2023,6,3,,,5,,8,,0,,0,,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.4,2023-06-04 00:00:00,QC,2023,6,4,,,4,,11.1,,0,,0,,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.5,2023-06-05 00:00:00,QC,2023,6,5,,,1,,9,,28,,28,,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.6,2023-06-06 00:00:00,QC,2023,6,6,,,7,,7.9,,,M,,M,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.7,2023-06-07 00:00:00,QC,2023,6,7,,,6,,6.9,,4,,4,,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.8,2023-06-08 00:00:00,QC,2023,6,8,,,5.9,,8,,8,,8,,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.9,2023-06-09 00:00:00,QC,2023,6,9,,,4,,11.9,,0,,0,,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.10,2023-06-10 00:00:00,QC,2023,6,10,,,4,,15.4,,0,,0,,0,,0,,,,,,,,,,,,,
-64.2,48.85,CAP DES ROSIERS,7051055,7051055.2023.6.11,2023-06-11 00:00:00,QC,2023,6,11,,,9.2,,22.2,,0,,0,,0,,0,,,,,,,,,,,,,
