x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.1.26,2023-01-26 00:00:00,ON,2023,1,26,-16.4,,-21.7,,-11.1,,0,,,,,,,,,M,,M,0,,34.4,,52,,77,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.1.27,2023-01-27 00:00:00,ON,2023,1,27,-11.1,,-16.9,,-5.3,,0.2,,,,,,,,31,,55,,0,,29.1,,53,,83,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.1.28,2023-01-28 00:00:00,ON,2023,1,28,-19.6,,-24.6,,-14.6,,0,,,,,,,,29,,37,,0,,37.6,,44,,70,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.1.29,2023-01-29 00:00:00,ON,2023,1,29,-23.9,,-30.8,,-17,,0,,,,,,,,,M,,M,0,,41.9,,47,,72,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.1.30,2023-01-30 00:00:00,ON,2023,1,30,-23.7,,-28.8,,-18.6,,0,,,,,,,,28,,41,,0,,41.7,,41,,72,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.1.31,2023-01-31 00:00:00,ON,2023,1,31,-22.3,,-32.5,,-12,,0,,,,,,,,,M,,M,0,,40.3,,47,,70,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.1,2023-02-01 00:00:00,ON,2023,2,1,-21.9,,-31.2,,-12.5,,0,,,,,,,,,M,,M,0,,39.9,,45,,74,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.2,2023-02-02 00:00:00,ON,2023,2,2,-19.4,,-26.4,,-12.4,,0,,,,,,,,31,,55,,0,,37.4,,39,,76,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.3,2023-02-03 00:00:00,ON,2023,2,3,-23.5,,-30,,-16.9,,0,,,,,,,,31,,32,,0,,41.5,,34,,78,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.4,2023-02-04 00:00:00,ON,2023,2,4,-13.1,,-16.9,,-9.2,,0.2,,,,,,,,22,,39,,0,,31.1,,55,,82,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.5,2023-02-05 00:00:00,ON,2023,2,5,-15.3,,-21.6,,-8.9,,0,,,,,,,,,M,,M,0,,33.3,,56,,80,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.6,2023-02-06 00:00:00,ON,2023,2,6,-11.2,,-23.2,,0.8,,0,,,,,,,,18,,39,,0,,29.2,,69,,90,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.7,2023-02-07 00:00:00,ON,2023,2,7,-7.1,,-14.8,,0.6,,0.2,,,,,,,,28,,52,,0,,25.1,,54,,95,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.8,2023-02-08 00:00:00,ON,2023,2,8,-6.9,,-16.1,,2.3,,0,,,,,,,,,M,,M,0,,24.9,,61,,91,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.9,2023-02-09 00:00:00,ON,2023,2,9,-1.8,,-5.8,,2.3,,0,,,,,,,,33,,50,,0,,19.8,,58,,93,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.10,2023-02-10 00:00:00,ON,2023,2,10,-9.7,,-13.8,,-5.6,,0,,,,,,,,32,,45,,0,,27.7,,50,,74,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.11,2023-02-11 00:00:00,ON,2023,2,11,-3.9,,-13.6,,5.9,,0,,,,,,,,28,,52,,0,,21.9,,52,,90,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.12,2023-02-12 00:00:00,ON,2023,2,12,-1.4,,-7.7,,5,,0,,,,,,,,,M,,M,0,,19.4,,55,,93,
-89.32166666666667,48.371944444444445,THUNDER BAY,6048260,6048260.2023.2.13,2023-02-13 00:00:00,ON,2023,2,13,-1.4,,-7.6,,4.8,,0,,,,,,,,28,,41,,0,,19.4,,42,,93,
