x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.1,2023-06-01 00:00:00,NB,2023,6,1,12.8,,7.3,,18.2,,1.4,,,,,,,,,,,,0,,5.2,,68,,95,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.2,2023-06-02 00:00:00,NB,2023,6,2,12.7,,7,,18.4,,1.1,,,,,,,,,,,,0,,5.3,,63,,94,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.3,2023-06-03 00:00:00,NB,2023,6,3,6.3,,5.4,,7.1,,22,,,,,,,,,,,,0,,11.7,,85,,94,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.4,2023-06-04 00:00:00,NB,2023,6,4,9.9,,7,,12.9,,4.6,,,,,,,,,,,,0,,8.1,,79,,95,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.5,2023-06-05 00:00:00,NB,2023,6,5,10.3,,8.3,,12.4,,15.9,,,,,,,,34,,39,,0,,7.7,,87,,95,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.6,2023-06-06 00:00:00,NB,2023,6,6,10.7,,8.1,,13.4,,5.9,,,,,,,,34,,31,,0,,7.3,,80,,94,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.7,2023-06-07 00:00:00,NB,2023,6,7,10.5,,7.8,,13.2,,0.2,,,,,,,,,,,,0,,7.5,,76,,95,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.8,2023-06-08 00:00:00,NB,2023,6,8,12.4,,8.9,,16,,0.9,,,,,,,,,,,,0,,5.6,,65,,95,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.9,2023-06-09 00:00:00,NB,2023,6,9,12.9,,9.6,,16.1,,0,,,,,,,,,,,,0,,5.1,,69,,93,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.10,2023-06-10 00:00:00,NB,2023,6,10,10.9,,8.1,,13.6,,0,,,,,,,,,,,,0,,7.1,,76,,95,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.11,2023-06-11 00:00:00,NB,2023,6,11,13.4,,7.9,,18.9,,0,,,,,,,,,,,,0,,4.6,,69,,96,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.12,2023-06-12 00:00:00,NB,2023,6,12,17.3,,9.3,,25.2,,0,,,,,,,,,,,,0,,0.7,,44,,95,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.13,2023-06-13 00:00:00,NB,2023,6,13,16.1,,9.1,,23.2,,0,,,,,,,,,,,,0,,1.9,,64,,96,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.14,2023-06-14 00:00:00,NB,2023,6,14,14.1,,11.1,,17.1,,4.6,,,,,,,,,,,,0,,3.9,,89,,96,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.15,2023-06-15 00:00:00,NB,2023,6,15,14.8,,10.2,,19.4,,1.2,,,,,,,,,,,,0,,3.2,,75,,97,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.16,2023-06-16 00:00:00,NB,2023,6,16,13.4,,9.6,,17.1,,0,,,,,,,,,,,,0,,4.6,,76,,97,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.17,2023-06-17 00:00:00,NB,2023,6,17,13.4,,11.1,,15.8,,23,,,,,,,,32,,35,,0,,4.6,,82,,96,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.18,2023-06-18 00:00:00,NB,2023,6,18,12.5,,9.9,,15.2,,3.4,,,,,,,,32,,38,,0,,5.5,,89,,95,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.19,2023-06-19 00:00:00,NB,2023,6,19,12.1,,8.2,,16,,0.2,,,,,,,,32,,35,,0,,5.9,,70,,90,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.20,2023-06-20 00:00:00,NB,2023,6,20,11.9,,8.4,,15.3,,0,,,,,,,,,,,,0,,6.1,,67,,94,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.21,2023-06-21 00:00:00,NB,2023,6,21,,M,,M,,M,,M,,,,,,,,M,,M,,M,,M,,M,,M
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.22,2023-06-22 00:00:00,NB,2023,6,22,16.3,,9.1,,23.6,,0,,,,,,,,,,,,0,,1.7,,34,,96,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.23,2023-06-23 00:00:00,NB,2023,6,23,16.5,,8.3,,24.7,,0,,,,,,,,,,,,0,,1.5,,31,,94,
-64.95,45.6,FUNDY PARK (ALMA) CS,8101746,8101746.2023.6.24,2023-06-24 00:00:00,NB,2023,6,24,16.6,,9.5,,23.6,,4,,,,,,,,,,,,0,,1.4,,71,,96,
