x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.13,2023-01-13 00:00:00,SK,2023,1,13,-17.4,,-22.7,,-12.1,,0,T,0,,0,T,34,,,M,,M,0,,35.4,,79,,88,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.14,2023-01-14 00:00:00,SK,2023,1,14,-10.6,,-12.5,,-8.7,,0,T,0,,0,T,34,,9,,35,,0,,28.6,,85,,92,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.15,2023-01-15 00:00:00,SK,2023,1,15,-9.6,,-11.8,,-7.4,,0,T,0,,0,T,34,,,M,,M,0,,27.6,,88,,92,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.16,2023-01-16 00:00:00,SK,2023,1,16,-7.7,,-8.4,,-6.9,,0,T,0,,0,T,34,,,M,,M,0,,25.7,,91,,92,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.17,2023-01-17 00:00:00,SK,2023,1,17,-10.4,,-12.3,,-8.4,,0,T,0,,0,T,34,,,M,,M,0,,28.4,,88,,91,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.18,2023-01-18 00:00:00,SK,2023,1,18,-9.8,,-11.4,,-8.2,,0,T,0,,0,T,34,,,M,,M,0,,27.8,,89,,91,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.19,2023-01-19 00:00:00,SK,2023,1,19,-6.3,,-8.2,,-4.3,,0,T,0,,0,T,34,,,M,,M,0,,24.3,,91,,95,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.20,2023-01-20 00:00:00,SK,2023,1,20,-8.6,,-15.1,,-2.1,,0,,0,,0,,34,,,M,,M,0,,26.6,,72,,92,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.21,2023-01-21 00:00:00,SK,2023,1,21,-12.3,,-18.2,,-6.4,,0,,0,,0,,33,,,M,,M,0,,30.3,,83,,92,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.22,2023-01-22 00:00:00,SK,2023,1,22,-7,,-15.8,,1.9,,3,,2.8,,0.2,,33,,34,,54,,0,,25,,69,,95,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.23,2023-01-23 00:00:00,SK,2023,1,23,-7.8,,-10.1,,-5.5,,2.2,,0,,2.2,,33,,33,,44,,0,,25.8,,68,,88,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.24,2023-01-24 00:00:00,SK,2023,1,24,-12.3,,-17.8,,-6.8,,0.2,,0,,0.2,,35,,,M,,M,0,,30.3,,79,,88,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.25,2023-01-25 00:00:00,SK,2023,1,25,-5.8,,-7.5,,-4.1,,0,T,0,,0,T,35,,35,,35,,0,,23.8,,76,,93,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.26,2023-01-26 00:00:00,SK,2023,1,26,-1.8,,-7.1,,3.6,,2.4,,0.7,,3.4,,38,,35,,68,,0,,19.8,,74,,94,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.27,2023-01-27 00:00:00,SK,2023,1,27,-16,,-25.6,,-6.4,,0,T,0,,0,T,38,,36,,44,,0,,34,,51,,81,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.28,2023-01-28 00:00:00,SK,2023,1,28,-21.8,,-25.9,,-17.6,,0,T,0,,0,T,38,,30,,49,,0,,39.8,,59,,79,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.29,2023-01-29 00:00:00,SK,2023,1,29,-25.1,,-30.3,,-19.9,,0,T,0,,0,T,38,,29,,48,,0,,43.1,,58,,70,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.30,2023-01-30 00:00:00,SK,2023,1,30,-24,,-29.7,,-18.2,,0,,0,,0,,38,,31,,38,,0,,42,,64,,80,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.1.31,2023-01-31 00:00:00,SK,2023,1,31,-24.4,,-31.8,,-16.9,,0,T,0,,0,T,38,,,M,,M,0,,42.4,,65,,80,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.2.1,2023-02-01 00:00:00,SK,2023,2,1,-25.9,,-34.3,,-17.4,,0.2,,0,,0.2,,38,,35,,46,,0,,43.9,,50,,81,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.2.2,2023-02-02 00:00:00,SK,2023,2,2,-28.7,,-35.5,,-21.9,,0,T,0,,0,T,38,,,M,,M,0,,46.7,,58,,74,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.2.3,2023-02-03 00:00:00,SK,2023,2,3,-16.5,,-21.8,,-11.2,,0,,0,,0,,38,,18,,35,,0,,34.5,,61,,79,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.2.4,2023-02-04 00:00:00,SK,2023,2,4,-9.1,,-12.2,,-5.9,,0.4,,0,,1,,38,,,M,,M,0,,27.1,,75,,88,
-105.67305555555555,53.214444444444446,PRINCE ALBERT A,4056241,4056241.2023.2.5,2023-02-05 00:00:00,SK,2023,2,5,-3.6,,-7.1,,0,,0,T,0,,0,T,39,,,M,,M,0,,21.6,,72,,94,
