Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Region_10,Region_11,Region_12,Region_13,Region_14,Region_15,Region_16,Region_17,Region_18,Region_19,Region_20,Region_21,Region_22,Region_23,Region_24,Region_25,Region_26,Region_27,Region_28,Region_29,Region_30,Region_31,Region_32,Region_33,Region_34,Region_35,Region_36,Region_37,Region_38,Region_39,Region_40,Region_41,Region_42,Region_43,Region_44,Region_45,Region_46,Region_47,Region_48,Region_49,Region_50,Region_51,Region_52,Region_53,Region_54,Region_55,Region_56,Region_57,Region_58,Region_59,Region_60,Region_61,Region_62,Region_63,Region_64,Region_65,Region_66,Region_67,Region_68,Region_69,Region_70
746.1745396317053,435.96022727272725,924.0973451327434,852.3816326530613,914.8095238095239,329.7014925373134,285.92452830188677,486.58895705521473,222.82632541133455,152.97014925373134,817.5138121546961,67.43708609271523,407.45,591.2758620689655,114.32,51.30561797752809,873.0777027027027,773.914979757085,767.0673758865248,416.1746031746032,611.2694300518135,273.2130177514793,595.0517598343686,907.0927835051547,790.9350649350649,626.828677839851,626.5793103448276,800.5717255717256,830.1918402777778,365.7255892255892,322.6530214424951,566.5838383838384,159.6,217.92436974789916,713.4342105263158,697.3689687795649,515.6040609137056,955.2978723404256,803.3028846153846,832.2533333333333,341.3058823529412,253.62011173184356,466.0048465266559,347.2676923076923,123.97280966767372,852.9435028248588,83.43778801843318,289.19607843137254,606.8094218415417,152.48523206751054,74.55377574370709,788.5513513513514,811.808,724.2,345.52317880794703,534.7641509433962,471.8392857142857,650.8087855297158,874.055900621118,788.0569444444444,652.3344594594595,658.7254901960785,708.3226351351351,823.9372623574144,379.6062874251497,280.39008620689657,653.37558685446,70.56,252.11206896551724,676.3333333333334
744.0272217774219,435.65909090909093,917.7168141592921,849.4816326530612,910.005291005291,328.1119402985075,274.9182389937107,482.44785276073617,222.20475319926874,150.68905472636817,813.767955801105,66.82339955849889,406.5675,586.7487684729064,114.51,51.24044943820225,865.0,769.3117408906883,764.2092198581561,415.43650793650795,608.2435233160621,267.8757396449704,591.8343685300207,904.7371134020618,787.4588744588744,624.195530726257,625.5931034482759,797.7359667359667,826.9401041666666,364.3989898989899,321.46198830409355,565.6343434343435,160.0857142857143,222.30252100840337,710.328947368421,694.841059602649,515.5431472081218,950.3936170212766,800.8221153846154,826.7822222222222,339.72352941176473,244.2290502793296,463.3117932148627,346.3676923076923,122.87915407854985,854.6610169491526,83.08064516129032,288.3578431372549,603.4089935760171,152.47679324894514,74.16933638443936,779.1108108108108,809.536,721.9142857142857,347.3576158940397,534.3867924528302,469.9345238095238,647.5555555555555,871.4968944099379,785.6305555555556,652.0320945945946,656.8823529411765,706.1807432432432,820.9325095057035,378.24700598802394,278.63577586206895,653.0633802816901,72.0,254.4051724137931,675.3529411764706
742.919935948759,436.28409090909093,916.8672566371681,847.8673469387755,906.3862433862433,328.84328358208955,274.54716981132077,482.44171779141107,222.3144424131627,151.46268656716418,811.1933701657458,67.03752759381898,407.5,585.8965517241379,115.5,50.923595505617975,865.2195945945946,768.591093117409,762.0673758865248,416.64285714285717,606.9170984455959,265.14792899408286,592.184265010352,904.1443298969073,786.1500721500721,624.2216014897579,623.448275862069,796.8981288981289,825.5,364.4410774410774,320.2904483430799,566.1858585858586,160.37142857142857,217.2689075630252,709.8157894736842,693.4919583727531,515.730964467005,951.0212765957447,799.7980769230769,822.6444444444444,339.84705882352944,237.3296089385475,463.4684975767367,347.0,123.14501510574019,854.457627118644,83.12903225806451,288.8848039215686,603.1905781584583,153.71729957805908,75.08924485125858,780.7351351351351,807.988,722.0809523809523,349.03973509933775,533.1179245283018,469.7083333333333,647.1033591731266,869.9689440993789,784.1263888888889,652.410472972973,652.1470588235294,706.4070945945946,819.2899239543726,379.127245508982,280.3814655172414,652.9460093896714,71.46,247.08620689655172,673.156862745098
742.497998398719,436.9318181818182,916.7256637168142,847.8755102040816,905.2698412698413,329.05970149253733,278.4654088050315,483.1554192229039,222.6435100548446,150.5870646766169,808.8397790055249,67.67328918322296,406.955,585.8497536945813,114.465,50.95280898876405,868.0135135135135,768.3198380566802,762.9645390070922,414.8333333333333,607.7979274611399,267.3076923076923,592.8322981366459,903.1701030927835,786.7979797979798,623.7150837988827,623.3655172413793,796.1704781704782,825.2178819444445,364.21380471380473,322.5945419103314,566.5414141414142,159.25714285714287,219.88235294117646,712.2763157894736,694.0028382213812,516.2335025380711,951.4893617021277,799.1802884615385,821.5288888888889,340.78823529411767,249.43016759776538,463.90468497576734,348.1569230769231,123.20241691842901,850.638418079096,83.76728110599079,287.625,604.1370449678801,150.79324894514767,74.33638443935926,782.8675675675676,807.364,720.0714285714286,349.9801324503311,532.1698113207547,471.3452380952381,647.4702842377261,870.776397515528,784.9958333333333,650.214527027027,653.5980392156863,705.893581081081,818.9230038022814,378.9610778443114,281.29525862068965,653.9929577464789,73.14,253.06896551724137,672.5686274509804
742.2794235388311,435.03977272727275,915.5752212389381,845.6877551020408,905.0952380952381,325.32835820895525,275.75471698113205,482.77914110429447,220.86106032906764,150.06467661691542,806.1270718232045,67.32671081677704,406.8825,584.6379310344828,114.43,51.16629213483146,865.9594594594595,763.6963562753036,762.0460992907801,415.92063492063494,606.860103626943,263.89940828402365,590.8509316770186,903.0412371134021,784.4040404040404,618.7169459962756,623.751724137931,795.4802494802494,824.4930555555555,360.55218855218857,321.38206627680313,564.8909090909091,159.11428571428573,221.96638655462183,713.9473684210526,693.1390728476821,513.8375634517766,947.6489361702128,797.9951923076923,821.6133333333333,337.9764705882353,244.45810055865923,462.6930533117932,345.82,122.09063444108762,847.1355932203389,83.3410138248848,289.1348039215686,602.0749464668094,152.52320675105486,73.58352402745996,780.9081081081081,805.332,719.9904761904762,349.03973509933775,533.438679245283,468.86309523809524,645.7881136950905,870.304347826087,783.3305555555555,646.2618243243244,653.4509803921569,706.2668918918919,818.6711026615969,376.0703592814371,281.35991379310343,652.8004694835681,71.84,250.61206896551724,669.8627450980392
741.8702962369896,431.28977272727275,917.4424778761062,846.5469387755102,904.3121693121693,323.5074626865672,274.5345911949685,482.0920245398773,220.07678244972578,148.01492537313433,803.7403314917127,66.70198675496688,406.755,582.9729064039409,115.455,50.667415730337076,864.0641891891892,760.4291497975709,761.0106382978723,416.3492063492063,606.3626943005181,260.2189349112426,590.2608695652174,902.9329896907217,783.969696969697,614.6219739292364,623.5862068965517,796.7463617463618,824.3984375,359.96127946127945,321.34892787524365,564.9555555555555,163.77142857142857,222.56302521008402,712.4342105263158,692.9508041627247,512.0456852791879,950.968085106383,798.4086538461538,820.3377777777778,336.5352941176471,242.96648044692736,462.90630048465266,345.38,122.49546827794562,846.6214689265537,82.91013824884793,288.3382352941176,600.5781584582442,150.73417721518987,73.5720823798627,778.6162162162162,804.568,720.5571428571428,348.94039735099335,531.372641509434,466.1190476190476,644.9896640826873,869.9130434782609,784.0805555555555,645.0304054054054,652.4509803921569,706.0050675675676,818.4496197718631,376.09580838323353,279.5840517241379,652.6009389671361,72.42,250.83620689655172,673.3333333333334
744.5660528422738,431.9431818181818,919.858407079646,852.9591836734694,908.5978835978837,324.7313432835821,266.3647798742138,483.4683026584867,221.9506398537477,149.95273631840797,810.0994475138122,66.44150110375276,404.355,580.35960591133,111.9,51.103370786516855,866.3547297297297,775.6356275303643,767.1276595744681,411.37301587301585,606.8756476683938,254.12426035502958,602.7018633540373,909.7113402061856,796.6796536796537,620.828677839851,622.1862068965518,794.9958419958419,825.0954861111111,364.6026936026936,322.8206627680312,570.989898989899,163.05714285714285,226.0252100840336,710.7763157894736,695.3481551561022,514.5939086294417,947.9042553191489,805.3966346153846,825.3955555555556,337.9294117647059,231.2513966480447,463.3360258481422,348.38153846153847,120.41087613293051,851.6666666666666,82.04377880184332,286.8651960784314,601.8758029978587,150.84810126582278,72.98398169336384,778.7972972972973,815.552,723.8904761904762,346.43046357615896,530.5990566037735,464.51190476190476,656.0568475452196,876.6708074534162,794.0638888888889,649.7162162162163,652.0980392156863,705.518581081081,819.1311787072243,380.76646706586826,280.6271551724138,657.9671361502348,72.72,246.86206896551724,674.6470588235294
745.2634107285828,431.4488636363636,921.5398230088496,856.2183673469387,917.2116402116402,325.6865671641791,272.8490566037736,486.85276073619633,223.23948811700183,154.6044776119403,815.7734806629834,66.26490066225166,405.335,589.14039408867,114.0,50.82247191011236,872.1993243243244,776.0404858299595,769.5035460992908,416.8174603174603,611.0310880829015,258.6804733727811,599.2443064182195,910.5154639175257,796.040404040404,626.56052141527,630.8551724137931,800.2619542619543,832.953125,365.63468013468014,320.42105263157896,570.8444444444444,159.4857142857143,218.39495798319328,712.9078947368421,697.329233680227,514.0253807106599,955.1808510638298,806.8701923076923,834.7688888888889,341.01176470588234,239.3854748603352,463.64297253634896,348.48,123.1510574018127,857.723163841808,82.00230414746544,288.3578431372549,605.3982869379015,153.61181434599155,73.31807780320366,781.8378378378378,814.716,727.9190476190477,349.17218543046357,538.1981132075472,467.6547619047619,657.3695090439277,879.0993788819876,793.9166666666666,654.5405405405405,661.4901960784314,712.1638513513514,827.777566539924,382.44011976047904,280.6185344827586,658.8145539906103,69.28,247.48275862068965,677.9019607843137
745.4059247397919,430.47727272727275,923.4247787610619,851.9551020408163,913.5396825396825,324.6119402985075,276.7798742138365,484.2822085889571,221.72943327239489,153.87562189054725,815.9502762430939,66.1832229580574,404.5125,585.6502463054187,113.53,51.82022471910113,871.6182432432432,772.3643724696357,765.3652482269504,415.6746031746032,607.4093264248704,263.06508875739644,595.6977225672878,908.1134020618557,791.4401154401154,624.8398510242085,626.7103448275863,796.6091476091476,828.765625,363.75925925925924,318.71150097465886,566.8424242424243,159.85714285714286,216.2436974789916,711.4736842105264,696.5931882686849,514.4619289340102,955.2659574468086,803.9591346153846,830.9244444444445,339.1588235294118,246.4804469273743,463.74636510500807,347.1030769230769,123.7643504531722,855.1751412429378,82.07373271889401,287.3921568627451,602.6038543897216,152.55274261603375,73.44851258581235,786.0918918918919,813.088,725.2476190476191,347.8476821192053,534.9009433962265,464.3333333333333,652.5426356589147,876.5155279503106,790.3430555555556,651.722972972973,657.9019607843137,708.1402027027027,823.2747148288973,380.2440119760479,279.875,656.9553990610328,71.3,246.41379310344828,674.5098039215686
742.5532425940753,429.375,918.9026548672566,850.2285714285714,910.4867724867725,322.6044776119403,274.8805031446541,482.55419222903885,222.0274223034735,151.73383084577114,809.7292817679559,66.63576158940397,404.505,584.4458128078818,112.5,51.34606741573034,865.3378378378378,768.578947368421,763.322695035461,414.42063492063494,607.6580310880829,260.03550295857985,595.0062111801242,907.0824742268042,789.2308802308802,619.1545623836126,625.696551724138,795.3222453222453,827.7074652777778,363.26599326599325,318.635477582846,566.969696969697,158.0,220.9327731092437,708.2894736842105,693.7237464522233,513.3045685279188,952.1382978723404,801.2235576923077,826.5688888888889,337.43529411764706,239.93296089385476,463.4345718901454,347.2876923076923,122.20845921450152,849.9548022598871,82.66359447004608,286.1985294117647,601.5139186295503,150.54430379746836,74.33867276887872,777.8189189189189,809.948,722.9809523809524,349.8543046357616,535.0896226415094,462.82142857142856,650.4418604651163,874.5341614906832,788.4847222222222,647.3851351351351,656.843137254902,706.2635135135135,822.2471482889733,379.43263473053895,280.68318965517244,655.4577464788732,69.72,248.98275862068965,672.9215686274509
